,Branch Number,Branch Street Address Street Address1,Branch City Name,Branch State Code,Branch Postal Code Postal Code,Branch Close Date ID,Fulladdress,Latitude,Longitude,is_closed_branch
279,433,5481 VANN PLACE,BIRMINGHAM,AL,35235,12/31/9999,5481 VANN PLACE BIRMINGHAM AL 35235,33.610906,-86.632532,0
280,434,930 HIGH STREET,JACKSON,MS,39202,12/31/9999,930 HIGH STREET JACKSON MS 39202,32.304065,-90.175629,0
281,435,1801 PASS RD.,GULFPORT,MS,39501,12/31/9999,1801 PASS RD. GULFPORT MS 39501,30.380333,-89.083621,0
282,436,1304 FIFTH ST.,MERIDIAN,MS,39301,12/31/9999,1304 FIFTH ST. MERIDIAN MS 39301,32.368247,-88.691881,0
283,437,443 E. PRESIDENT ST.,TUPELO,MS,38801,12/31/9999,443 E. PRESIDENT ST. TUPELO MS 38801,34.248679,-88.710404,0
284,438,1211 PUTMAN DR NW,HUNTSVILLE,AL,35816,12/31/9999,1211 PUTMAN DR NW HUNTSVILLE AL 35816,34.738444,-86.638533,0
285,439,208 NORTH 2ND STREET,UNION CITY,TN,38261,12/31/9999,208 NORTH 2ND STREET UNION CITY TN 38261,36.426961,-89.057968,0
286,440,301 AIRWAYS BLVD,JACKSON,TN,38301,12/31/9999,301 AIRWAYS BLVD JACKSON TN 38301,35.61666,-88.832352,0
287,442,3812 1ST AVE. N.,BIRMINGHAM,AL,35222,12/31/9999,3812 1ST AVE. N. BIRMINGHAM AL 35222,33.526357,-86.781099,0
288,443,1033 14TH STREET,COLUMBUS,GA,31901,12/31/9999,1033 14TH STREET COLUMBUS GA 31901,32.472747,-84.978434,0
289,454,3400 CANDELARIA RD NE,ALBUQUERQUE,NM,87107,12/31/9999,3400 CANDELARIA RD NE ALBUQUERQUE NM 87107,35.116524,-106.606947,0
290,459,1403 FLORIDA AVENUE,PANAMA CITY,FL,32401,12/31/9999,1403 FLORIDA AVENUE PANAMA CITY FL 32401,30.173439,-85.669462,0
291,460,101 LOVEJOY RD,FORT WALTON BEACH,FL,32548,12/31/9999,101 LOVEJOY RD FORT WALTON BEACH FL 32548,30.424412,-86.674242,0
292,461,1050 S. LABARRE ROAD,METAIRIE,LA,70001,12/31/9999,1050 S. LABARRE ROAD METAIRIE LA 70001,29.972994,-90.152012,0
293,463,350 WESTERN DRIVE,MOBILE,AL,36607,12/31/9999,350 WESTERN DRIVE MOBILE AL 36607,30.70325,-88.114968,0
294,465,44567 S AIRPORT RD,HAMMOND,LA,70403,12/31/9999,44567 S AIRPORT RD HAMMOND LA 70403,30.51191,-90.415098,0
295,466,2034 SOUTH SOUTHLAND AVENUE,GONZALES,LA,70737,12/31/9999,2034 SOUTH SOUTHLAND AVENUE GONZALES LA 70737,30.216392,-90.928347,0
296,480,4308 NORTH PALAFOX ST.,PENSACOLA,FL,32505,12/31/9999,4308 NORTH PALAFOX ST. PENSACOLA FL 32505,30.456612,-87.237222,0
297,485,1050 S. LABARRE ROAD,METAIRIE,LA,70001,12/31/9999,1050 S. LABARRE ROAD METAIRIE LA 70001,29.972994,-90.152012,0
298,499,513 NATIONAL AVENUE,AUGUSTA,GA,30903,12/31/9999,513 NATIONAL AVENUE AUGUSTA GA 30903,33.457805,-81.968181,0
299,501,4990 BANCO ROAD,NORTH CHARLESTON,SC,29418,12/31/9999,4990 BANCO ROAD NORTH CHARLESTON SC 29418,32.865926,-80.013576,0
300,502,101-A KAHN INDUSTRIAL CT.,SAVANNAH,GA,31405,12/31/9999,101-A KAHN INDUSTRIAL CT. SAVANNAH GA 31405,32.046723,-81.146852,0
301,503,2122 LINE STREET,BRUNSWICK,GA,31520,12/31/9999,2122 LINE STREET BRUNSWICK GA 31520,31.192695,-81.495893,0
302,504,407 HARMON ST,SAVANNAH,GA,31401,12/31/9999,407 HARMON ST SAVANNAH GA 31401,32.066722,-81.081311,0
303,513,513 NATIONAL AVENUE,AUGUSTA,GA,30901,12/31/9999,513 NATIONAL AVENUE AUGUSTA GA 30901,33.457805,-81.968181,0
304,515,111 COMMERCIAL BLVD.,AUGUSTA,GA,30907,12/31/9999,111 COMMERCIAL BLVD. AUGUSTA GA 30907,33.516041,-82.092596,0
305,516,125 POPLAR STREET,MACON,GA,31201,12/31/9999,125 POPLAR STREET MACON GA 31201,32.830724,-83.622484,0
306,518,203 JAMES E WILLIAMS DR,BYRON,GA,31008,12/31/9999,203 JAMES E WILLIAMS DR BYRON GA 31008,32.652992,-83.76388,0
307,520,9158 WHEAT STREET,COVINGTON,GA,30014,12/31/9999,9158 WHEAT STREET COVINGTON GA 30014,33.604486,-83.831551,0
308,521,144 WESTRIDGE INDUSTRIAL BLVD,MCDONOUGH,GA,30253,12/31/9999,144 WESTRIDGE INDUSTRIAL BLVD MCDONOUGH GA 30253,33.414309,-84.158069,0
309,522,2408 TECH CENTER PARKWAY,LAWRENCEVILLE,GA,30043,12/31/9999,2408 TECH CENTER PARKWAY LAWRENCEVILLE GA 30043,34.053882,-84.002675,0
310,524,2351 BUTTON GWINNETT DRIVE,ATLANTA,GA,30340,12/31/9999,2351 BUTTON GWINNETT DRIVE ATLANTA GA 30340,33.915295,-84.23861,0
311,525,307 MCNATT STREET,VIDALIA,GA,30474,12/31/9999,307 MCNATT STREET VIDALIA GA 30474,32.208201,-82.382808,0
312,527,1185 LOGAN CIR NW,ATLANTA,GA,30318,12/31/9999,1185 LOGAN CIR NW ATLANTA GA 30318,33.806378,-84.434088,0
313,535,1396 ENTERPRISE AVENUE,MYRTLE BEACH,SC,29577,12/31/9999,1396 ENTERPRISE AVENUE MYRTLE BEACH SC 29577,33.708081,-78.903444,0
314,536,311 STOCKYARD ROAD,STATESBORO,GA,30458,12/31/9999,311 STOCKYARD ROAD STATESBORO GA 30458,32.461064,-81.799657,0
315,538,3265 BENCHMARK DR.,LADSON,SC,29456,12/31/9999,3265 BENCHMARK DR. LADSON SC 29456,32.994428,-80.112569,0
316,540,403 SULLIVAN STREET,GREENWOOD,SC,29646,12/31/9999,403 SULLIVAN STREET GREENWOOD SC 29646,34.20088,-82.144459,0
317,541,405 HUGER STREET,COLUMBIA,SC,29201,12/31/9999,405 HUGER STREET COLUMBIA SC 29201,33.985627,-81.0395,0
318,556,6 CALDWELL COURT,AIKEN,SC,29801,12/31/9999,6 CALDWELL COURT AIKEN SC 29801,33.532956,-81.697321,0
319,562,1200 POCALLA ROAD,SUMTER,SC,29150,12/31/9999,1200 POCALLA ROAD SUMTER SC 29150,33.886143,-80.347181,0
320,564,"1004 COBB PARKWAY N., #A",MARIETTA,GA,30062,12/31/9999,"1004 COBB PARKWAY N., #A MARIETTA GA 30062",2.7373,31.88644,0
321,565,150 PARADISE BLVD,ATHENS,GA,30607,12/31/9999,150 PARADISE BLVD ATHENS GA 30607,33.979181,-83.400434,0
322,568,107 FOREST PARKWAY,FOREST PARK,GA,30297,12/31/9999,107 FOREST PARKWAY FOREST PARK GA 30297,33.618396,-84.391288,0
323,570,200 NORTH MCQUEEN STREET,FLORENCE,SC,29501,12/31/9999,200 NORTH MCQUEEN STREET FLORENCE SC 29501,34.199193,-79.772425,0
324,571,2467 HILTON DRIVE,GAINESVILLE,GA,30501,12/31/9999,2467 HILTON DRIVE GAINESVILLE GA 30501,34.279455,-83.84951,0
325,574,601 HAMMOCK ROAD,MILLEDGEVILLE,GA,31061,12/31/9999,601 HAMMOCK ROAD MILLEDGEVILLE GA 31061,33.097958,-83.253282,0
326,575,2301 W. BLUE RIDGE DRIVE,GREENVILLE,SC,29611,12/31/9999,2301 W. BLUE RIDGE DRIVE GREENVILLE SC 29611,34.86143,-82.437925,0
327,576,110 COMMERCE DRIVE N.E.,COLUMBIA,SC,29223,12/31/9999,110 COMMERCE DRIVE N.E. COLUMBIA SC 29223,34.057694,-80.995691,0
328,577,709 DAVE LYLE BLVD.,ROCK HILL,SC,29730,12/31/9999,709 DAVE LYLE BLVD. ROCK HILL SC 29730,34.931381,-81.017011,0
